Date,Depth [m],Temp. [degC],Sal.,Cond. [mS/cm],EC25 [�S/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [�g/l],Turb. [FTU],pH,ORP [mV],DO [%],DO [mg/l],Quant. [�mol/(m2*s)],Depth [m],,,
4/1/1980 21:07,0.521,23.159,0.532,1.035,1078.5,997.908,0,2.359,2.359,7.675,8.978,-15.447,102.93,8.757,1028.866,0.521,,,
4/1/1980 21:07,0.544,23.174,0.532,1.035,1078.5,997.905,0,2.494,2.494,7.23,8.977,-15.333,102.985,8.76,761.421,0.544,,,
4/1/1980 21:07,0.561,23.185,0.531,1.035,1078,997.902,0,2.637,2.637,7.008,8.977,-15.371,103.137,8.772,1203.034,0.561,,,
4/1/1980 21:07,0.578,23.184,0.532,1.036,1078.7,997.902,0,2.434,2.434,6.563,8.977,-15.256,103.035,8.764,822.417,0.578,,,
4/1/1980 21:07,0.599,23.178,0.532,1.036,1078.8,997.904,0,2.412,2.412,6.8,8.977,-15.028,103.037,8.769,1224.992,0.599,,,
4/1/1980 21:07,0.63,23.159,0.532,1.036,1079.5,997.909,0,2.592,2.592,7.112,8.977,-14.951,103.078,8.781,742.653,0.63,,,
4/1/1980 21:07,0.649,23.118,0.532,1.034,1079.1,997.919,0,2.681,2.681,7.023,8.977,-14.951,103.081,8.786,1162.682,0.649,,,
4/1/1980 21:07,0.653,23.093,0.531,1.033,1077.9,997.924,0,2.547,2.547,7.067,8.979,-14.913,103.1,8.79,970.403,0.653,,,
4/1/1980 21:07,0.651,23.091,0.531,1.033,1078,997.924,0,2.487,2.487,8.119,8.978,-14.532,103.286,8.806,900.774,0.651,,,
4/1/1980 21:07,0.657,23.093,0.531,1.032,1077.5,997.924,0,2.659,2.659,7.393,8.978,-14.455,103.296,8.808,677.903,0.657,,,
4/1/1980 21:07,0.674,23.079,0.531,1.032,1077.6,997.927,0,2.562,2.562,7.023,8.979,-14.417,103.347,8.814,685.879,0.674,,,
4/1/1980 21:07,0.702,23.039,0.531,1.032,1078.1,997.937,0,2.577,2.577,6.978,8.979,-14.341,103.527,8.832,662.982,0.702,,,
4/1/1980 21:07,0.729,23.017,0.531,1.031,1078.1,997.942,0,2.547,2.547,6.949,8.979,-14.265,103.448,8.827,680.249,0.729,,,
4/1/1980 21:07,0.754,23.007,0.531,1.031,1078,997.945,0,2.359,2.359,7.082,8.979,-14.15,103.437,8.827,704.554,0.754,,,
4/1/1980 21:07,0.785,22.993,0.531,1.03,1077.8,997.948,0,2.382,2.382,6.563,8.98,-13.998,103.521,8.836,585.564,0.785,,,
4/1/1980 21:07,0.813,22.981,0.531,1.03,1078.1,997.951,0,2.719,2.719,7.497,8.98,-13.845,103.594,8.844,689.821,0.813,,,
4/1/1980 21:07,0.842,22.968,0.531,1.03,1078,997.955,0,2.614,2.614,7.186,8.98,-13.654,103.551,8.843,563.324,0.842,,,
4/1/1980 21:07,0.872,22.956,0.531,1.029,1077.3,997.957,0,2.622,2.622,7.23,8.979,-13.54,103.542,8.846,628.074,0.872,,,
4/1/1980 21:07,0.901,22.927,0.531,1.029,1078.1,997.965,0,2.584,2.584,6.815,8.979,-13.426,103.597,8.854,526.257,0.901,,,
4/1/1980 21:07,0.924,22.905,0.531,1.029,1078.9,997.97,0,2.629,2.629,7.423,8.978,-13.273,103.613,8.859,610.713,0.924,,,
4/1/1980 21:07,0.947,22.898,0.532,1.03,1079.7,997.972,0,2.667,2.667,6.815,8.978,-13.082,103.487,8.85,514.621,0.947,,,
4/1/1980 21:07,0.979,22.89,0.532,1.029,1079,997.974,0,2.584,2.584,6.238,8.977,-12.854,103.413,8.847,546.714,0.979,,,
4/1/1980 21:07,1.027,22.879,0.531,1.028,1078.2,997.976,0,2.741,2.741,6.504,8.976,-12.777,103.248,8.835,537.518,1.027,,,
4/1/1980 21:07,1.083,22.852,0.531,1.027,1078.4,997.983,0,2.719,2.719,6.223,8.976,-12.739,103.049,8.82,426.88,1.083,,,
4/1/1980 21:07,1.134,22.819,0.531,1.027,1078.9,997.991,0,2.726,2.726,6.682,8.974,-12.32,102.748,8.799,396.569,1.134,,,
4/1/1980 21:07,1.14,22.814,0.531,1.026,1078.1,997.992,0,2.749,2.749,6.638,8.972,-12.053,102.539,8.782,410.927,1.14,,,
4/1/1980 21:07,1.146,22.813,0.531,1.026,1078.3,997.993,0,2.726,2.726,7.156,8.971,-12.014,102.37,8.768,434.387,1.146,,,
4/1/1980 21:07,1.157,22.813,0.531,1.027,1078.6,997.993,0,2.711,2.711,6.682,8.97,-12.014,102.196,8.753,412.053,1.157,,,
4/1/1980 21:07,1.178,22.813,0.531,1.026,1078.3,997.993,0,2.816,2.816,6.963,8.97,-11.976,102.051,8.742,442.645,1.178,,,
4/1/1980 21:07,1.209,22.813,0.531,1.027,1078.5,997.993,0,3.326,3.326,9.32,8.969,-11.824,101.904,8.73,375.737,1.209,,,
4/1/1980 21:07,1.243,22.807,0.531,1.027,1078.7,997.995,0,3.191,3.191,7.319,8.968,-11.709,101.775,8.72,430.915,1.243,,,
4/1/1980 21:07,1.285,22.794,0.531,1.027,1078.9,997.998,0,3.191,3.191,6.815,8.967,-11.595,101.629,8.708,368.699,1.285,,,
4/1/1980 21:07,1.321,22.784,0.532,1.027,1079.3,998.001,0,3.108,3.108,6.312,8.966,-11.404,101.429,8.692,367.385,1.321,,,
4/1/1980 21:07,1.352,22.777,0.532,1.027,1079.3,998.002,0,2.929,2.929,6.504,8.966,-11.328,101.383,8.689,348.335,1.352,,,
4/1/1980 21:07,1.379,22.783,0.532,1.027,1079.4,998.001,0,2.854,2.854,6.652,8.965,-11.252,101.259,8.678,379.49,1.379,,,
4/1/1980 21:07,1.407,22.779,0.532,1.027,1079.8,998.002,0,2.921,2.921,5.66,8.964,-11.137,101.153,8.67,341.767,1.407,,,
4/1/1980 21:07,1.44,22.78,0.532,1.027,1079.4,998.002,0,2.816,2.816,5.882,8.964,-11.061,101.02,8.658,294.753,1.44,,,
4/1/1980 21:07,1.482,22.777,0.531,1.026,1079.2,998.003,0,3.011,3.011,6.504,8.963,-10.985,100.844,8.644,311.175,1.482,,,
